"Language Code","Language Name","Title (<= 30 chars)","Short Description (<= 80 chars)","Full Description (<= 4000 chars)"
"he","Hebrew","Calyx: מעקב מחזור והורמונים","מעקב פרטי אחר מחזור חודשי, מדדים ביולוגיים ואבטחה מקומית מלאה.","Calyx הינה אפליקציה למעקב אחר מחזור חודשי וקצב ביולוגי הפועלת באופן מקומי לשמירה מלאה על פרטיותך.

סנכרון שלבי המחזור
• שלב הווסת: מנוחה, התחדשות תאית והתאוששות
• השלב הפוליקולרי: עליית אסטרוגן, חיוניות ויצירתיות
• שיא הביוץ: אנרגיה מרבית, ביטחון ותקשורת
• השלב הלוטאלי: מיקוד, סיבולת ותזונה תומכת

מעקב מדדים יומי
• עוצמת הדימום ותאריכי מחזור
• חום שחר (BBT) ומעקב עלייה תרמית
• שונות קצב הלב (HRV) והתאוששות
• שעות שינה, רמות אנרגיה ומצבי רוח
• תסמינים פיזיים והערות מוצפנות

הדרכה הורמונלית מותאמת
• אימוני ספורט בהתאמה לשלב ההורמונלי
• תזונה תומכת איזון גופני
• שיפור הרגלי שינה

דוח רפואי ויצוא PDF
הפקת דוח רפואי מסודר בפורמט A4 להצגה בפני רופא נשים.

כספת האבטחה HAVEN
• אחסון מקומי בלבד ללא שרתים חיצוניים
• נעילה ביומטרית וקוד PIN
• קוד הסוואה (Decoy PIN): פותח תחזית מזג אוויר להגנה
• מחיקה מלאה של המידע בכל עת

הבהרה בריאותית
Calyx נועדה למעקב אישי ומודעות בריאותית בלבד. אינה מהווה ייעוץ רפואי או אמצעי מניעה."
"hi","Hindi","Calyx: मासिक धर्म व हार्मोन","निजी मासिक धर्म ट्रैकिंग, बायोमार्कर विश्लेषण और पूर्ण डेटा सुरक्षा।","Calyx एक ऑफलाइन और पूर्णतः सुरक्षित मासिक धर्म चक्र एवं शारीरिक लय ट्रैकर है जो आपको आपके शरीर और ऊर्जा को समझने में मदद करता है।

मासिक धर्म के चार चरण
• मासिक धर्म चरण: विश्राम, ऊर्जा पुनर्प्राप्ति और शारीरिक आराम
• फॉलिक्युलर चरण: एस्ट्रोजन में वृद्धि, स्फूर्ति और नई ऊर्जा
• ओव्यूलेटरी शिखर: उच्चतम ऊर्जा, आत्मविश्वास और स्पष्टता
• ल्यूटियल चरण: एकाग्रता, स्थिरता और संतुलित खानपान

दैनिक बायोमार्कर ट्रैकिंग
• रक्त प्रवाह की मात्रा और चक्र की तारीखें
• बेसल बॉडी टेम्परेचर (BBT) और तापमान बदलाव
• हृदय गति परिवर्तनशीलता (HRV) और तंत्रिका तंत्र की स्थिति
• नींद के घंटे, ऊर्जा स्तर, मनोदशा और शारीरिक लक्षण

व्यक्तिगत हार्मोनल मार्गदर्शन
• हार्मोनल चरणों के अनुसार व्यायाम और फिटनेस
• शरीर के संतुलन के लिए पौष्टिक आहार
• गहरी और आरामदायक नींद के सुझाव

लक्षण पहचान और विश्लेषण
नींद की कमी, शरीर के तापमान और लक्षणों के बीच संबंध समझें।

डॉक्टर सारांश और पीडीएफ एक्सपोर्ट
स्त्री रोग विशेषज्ञ से परामर्श हेतु A4 साइज में विस्तृत पीडीएफ रिपोर्ट बनाएं।

सुरक्षा वॉल्ट HAVEN
• डेटा केवल आपके डिवाइस में सुरक्षित (कोई क्लाउड सर्वर नहीं)
• बायोमेट्रिक और पिन सुरक्षा
• डिकॉय पिन: दबाव की स्थिति में मौसम का दृश्य दिखाता है
• किसी भी समय सारा डेटा स्थायी रूप से मिटाने की सुविधा

अस्वीकरण
Calyx केवल व्यक्तिगत जागरूकता और स्वास्थ्य ट्रैकिंग के लिए है। यह कोई चिकित्सीय सलाह या गर्भनिरोधक साधन नहीं है।"
"hu","Hungarian","Calyx: Ciklus és Hormonkövető","Privát menstruációs cikluskövetés, biomarkerek és cirkadián ritmus.","A Calyx egy offline működésű, adatvédelemre fókuszáló menstruációs ciklus- és cirkadián ritmuskövető alkalmazás.

CIKLUSFÁZISOK SZINKRONIZÁCIÓJA
• Menstruációs fázis: Pihenés, sejtszintű megújulás és regeneráció
• Follikuláris fázis: Emelkedő ösztrogén, vitalitás és állóképesség
• Ovulációs csúcs: Maximális energiaszint, magabiztosság és nyitottság
• Luteális fázis: Fókusz, kiegyensúlyozott kitartás és tudatos étrend

BIOMARKEREK NAPI RÖGZÍTÉSE
• Vérzés erőssége és ciklusdátumok
• Ébredési alaptesthőmérséklet (BBT) követése
• Szívfrekvencia-variabilitás (HRV) és idegrendszeri regeneráció
• Alvásidő, energiaszint, hangulat és testi tünetek

SZEMÉLYRE SZABOTT ÚTMUTATÁS
• Edzéstervezés a hormonális fázisokhoz igazítva
• Fázisalapú táplálkozás
• Alvásminőség javítása

ORVOSI JELENTÉS ÉS PDF EXPORTÁLÁS
A4 formátumú összefoglaló orvosi konzultációkhoz és nőgyógyászati vizsgálatokhoz.

HAVEN BIZTONSÁGI SZÉF
• Kizárólag helyi adattárolás felhőkiszervezés nélkül
• Biometrikus és PIN-kódos védelem
• Álcázó PIN (Decoy): Semleges időjárási felületet jelenít meg
• Azonnali adattörlés egyetlen érintéssel

JOGI NYILATKOZAT
A Calyx kizárólag életmódbeli és tájékoztatási célokat szolgál, nem minősül orvosi tanácsadásnak vagy fogamzásgátlásnak."
"id","Indonesian","Calyx: Lacak Siklus & Hormon","Pelacakan siklus menstruasi pribadi, biomarker, dan sinkronisasi ritme.","Calyx adalah aplikasi pelacak siklus menstruasi dan ritme sirkadian yang mengutamakan privasi dan penyimpanan data offline di perangkat Anda.

SINKRONISASI EMPAT FASE SIKLUS
• Fase Menstruasi: Istirahat, pembaruan seluler, dan pemulihan energi
• Fase Folikular: Peningkatan estrogen, vitalitas, dan kreativitas
• Puncak Ovulasi: Energi puncak, rasa percaya diri, dan komunikasi lancar
• Fase Luteal: Fokus, daya tahan stabil, dan nutrisi teratur

PENCATATAN BIOMARKER HARIAN
• Intensitas aliran dan tanggal siklus
• Suhu Tubuh Basal (BBT) dan pemantauan lonjakan suhu
• Variabilitas Denyut Jantung (HRV) dan pemulihan saraf
• Durasi tidur, fluktuasi energi, suasana hati, dan gejala fisik

PANDUAN HORMONAL PERSONAL
• Menyesuaikan latihan fisik dengan fase hormonal
• Nutrisi seimbang yang mendukung hormon
• Pola tidur optimal untuk pemulihan tubuh

DETEKTIF GEJALA
Menganalisis hubungan antara kurang tidur, perubahan suhu basal, dan gejala yang dirasakan.

LAPORAN KLINIS & EKSPOR PDF
Buat laporan medis A4 yang rapi untuk konsultasi dengan dokter kandungan.

BRANKAS KEAMANAN HAVEN
• Penyimpanan lokal di perangkat tanpa server cloud
• Kunci biometrik dan PIN keamanan
• PIN Samaran (Decoy): Membuka tampilan cuaca untuk melindungi privasi Anda
• Hapus seluruh data seketika kapan saja

PERNYATAAN KESEHATAN
Calyx ditujukan untuk pelacakan kesehatan pribadi. Aplikasi ini bukan pengganti saran medis atau alat kontrasepsi."
"it","Italian","Calyx: Monitor Ciclo e Ormoni","Tracciamento privato del ciclo mestruale, biomarcatori e ritmo circadiano.","Calyx è un'applicazione per il monitoraggio del ciclo mestruale e dei ritmi circadiani, progettata per garantire la massima privacy e il funzionamento offline.

SINCRONIZZAZIONE DELLE FASI DEL CICLO
Comprendi le quattro fasi naturali del tuo ciclo:
• Fase Mestruale: Riposo, rigenerazione cellulare e recupero metabolico
• Fase Follicolare: Aumento degli estrogeni, energia, creatività e vitalità
• Picco Ovulatorio: Massima energia, lucidità e fiducia
• Fase Luteale: Azione del progesterone, concentrazione e alimentazione mirata

REGISTRAZIONE QUOTIDIANA DEI BIOMARCATORI
• Intensità del flusso e date del ciclo
• Temperatura Basale Corporea (BBT) e tracciamento dell'andamento termico
• Variabilità della Frequenza Cardiaca (HRV) e recupero del sistema nervoso
• Ore di sonno, livelli di energia e oscillazioni dell'umore
• Sintomi fisici e note personali protette

GUIDA ORMONALE PERSONALIZZATA
• Allenamento: Adatta forza e cardio alle diverse fasi ormonali
• Nutrizione di fase: Alimenti ideali per favorire l'equilibrio fisiologico
• Ottimizzazione del sonno: Abitudini sane per un riposo profondo

ANALISI DEI SINTOMI
Individua le correlazioni tra carenza di sonno, variazioni di temperatura e sintomi fisici.

REPORT MEDICO ED ESPORTAZIONE PDF
Prepara le visite con il tuo ginecologo:
• Esporta un report clinico completo in formato A4 PDF
• Visualizza l'andamento della temperatura basale e la regolarità del ciclo

CASSAFORTE HAVEN
La tua privacy è fondamentale:
• Salvataggio esclusivamente locale: Nessun server cloud né tracciatori
• Autenticazione biometrica e codice PIN
• PIN Civetta (Decoy): Mostra una schermata meteo in situazioni di emergenza
• Cancellazione immediata e permanente di tutti i dati

AVVISO MEDICO
Calyx è inteso per la consapevolezza personale e il benessere. Non costituisce consulenza medica né metodo contraccettivo."
"ja","Japanese","Calyx: 生理周期とホルモン管理","プライベートな生理周期トラッキング、基礎体温、バイオマーカー分析。","Calyxは、完全オフライン動作とプライバシー保護を最優先に設計された生理周期および概日リズム管理アプリです。

周期フェーズの同期
4つの自然なホルモンフェーズに合わせて生活リズムを最適化します：
• 月経期：休息、細胞の修復、エネルギーの回復
• 卵胞期：エストロゲン上昇、活力、創造性、スタミナの向上
• 排卵期：エネルギーのピーク、コミュニケーション力、自信
• 黄体期：プロゲステロンの作用、集中力、安定した持久力と栄養管理

日々のバイオマーカー記録
• 経血量および月経日の記録
• 基礎体温（BBT）と高温期の推移トラッキング
• 心拍変動（HRV）と自律神経の回復状態
• 睡眠時間、疲労感、活力の変動
• 気分の変化、身体的症状、暗号化メモ

フェーズ別の個別ガイダンス
• 運動：ホルモン周期に合わせた筋力トレーニングと有酸素運動
• 栄養：代謝バランスを整える食事のアドバイス
• 睡眠：体内時計を整える休息の工夫

症状ディテクティブ
睡眠不足、基礎体温の変動、体調不良の相関関係を分析し、体調管理のヒントを見つけます。

医療レポートとPDF出力
婦人科や専門医の診察に役立つA4サイズの医療サマリーPDFを作成できます。

安全なHAVENセキュリティ保管庫
• 完全ローカル保存：クラウドサーバーへの送信や追跡は一切行いません
• 生体認証とPINコードによるロック
• おとりPIN機能（Decoy Mode）：緊急時に通常のお天気画面を表示してプライバシーを守ります
• いつでも端末内のデータを完全消去可能

免責事項
Calyxは個人の健康管理および意識向上を目的としています。医師の診断、治療、または避妊手段として使用するものではありません。"
"ko","Korean","Calyx: 월경 주기 및 호르몬 분석","비공개 생리 주기 추적, 기초체온 분석 및 생체 지표 동기화.","Calyx는 외부 서버 없이 기기 내에서만 안전하게 동작하는 생리 주기 및 생체 리듬 분석 앱입니다.

주기 단계별 신체 동기화
자연스러운 4가지 호르몬 주기에 맞춰 일상 에너지를 조율하세요:
• 월경 단계: 휴식, 세포 재생 및 신체 회복
• 여포 단계: 에스트로겐 상승, 활력, 창의력 및 지구력 증진
• 배란 단계: 최고의 에너지, 유연한 소통 능력 및 자신감
• 황체 단계: 프로게스테론 작용, 집중력 유지 및 균형 잡힌 영양 섭취

매일의 생체 지표 기록
• 생리량 및 주기 날짜 기록
• 기초체온(BBT) 및 온도 상승 곡선 추적
• 심박변이도(HRV) 및 자율신경계 회복 확인
• 수면 시간, 활력 변화, 기분 및 신체 증상 기록

단계별 맞춤 생활 가이드
• 호르몬 단계에 맞춘 유산소 및 근력 운동 조절
• 호르몬 균형을 돕는 단계별 영양 가이드
• 깊은 수면을 위한 수면 리듬 관리

증상 감지 및 상관관계 분석
수면 부족, 기초체온 변동, 신체 불편감 사이의 연관성을 파악합니다.

의료용 리포트 및 PDF 내보내기
산부인과 또는 전문의 상담을 위한 깔끔한 A4 의무기록 형식의 PDF 리포트를 생성할 수 있습니다.

안전한 HAVEN 보안 보관함
• 완벽한 로컬 저장: 외부 클라우드 저장이나 광고 추적기 차단
• 생체 인증 및 PIN 번호 잠금
• 위장 PIN 기능: 긴급 시 날씨 화면을 띄워 개인 정보를 보호
• 언제든지 모든 데이터를 영구적으로 삭제 가능

건강 관련 안내
Calyx는 개인의 건강 관리와 신체 이해를 돕기 위한 앱입니다. 의학적 진단, 치료 또는 피임의 목적으로 사용될 수 없습니다."
"ms","Malay","Calyx: Penjejak Kitaran Haid","Penjejakan kitaran haid peribadi, penanda bio dan keselamatan setempat.","Calyx ialah aplikasi penjejak kitaran haid dan ritma sirkadian luar talian yang direka untuk melindungi privasi anda sepenuhnya.

PENYELARASAN FASA KITARAN
Ketahui keadaan tubuh anda mengikut empat fasa semula jadi:
• Fasa Haid: Rehat, pemulihan sel dan tenaga
• Fasa Folikel: Peningkatan estrogen, kecergasan dan kreativiti
• Kemuncak Ovulasi: Tenaga maksimum dan keyakinan diri
• Fasa Luteal: Fokus, daya tahan yang stabil dan penjagaan nutrisi

LOG PENANDA BIO HARIAN
• Aliran haid dan tarikh kitaran
• Suhu Badan Basal (BBT) dan pemantauan kenaikan suhu
• Kebolehubahan Kadar Jantung (HRV) dan pemulihan saraf
• Jam tidur, kualiti rehat, perubahan emosi dan simptom fizikal

PANDUAN HORMON KHUSUS
• Latihan sukan mengikut fasa hormon
• Nutrisi seimbang mengikut keperluan badan
• Tabiat tidur yang menyegarkan

LAPORAN KLINIKAL & EKSPORT PDF
Sediakan laporan perubatan A4 yang kemas untuk rujukan doktor anda.

PETI KESELAMATAN HAVEN
• Data disimpan pada peranti anda sahaja tanpa pelayan awan
• Kunci biometrik dan kod PIN
• PIN Umpan (Decoy): Membuka skrin cuaca bagi melindungi privasi anda
• Padam semua rekod dengan serta-merta

PENAFIAN KESIHATAN
Calyx direka untuk kesedaran kesihatan peribadi sahaja. Aplikasi ini bukan nasihat perubatan atau kaedah pencegahan kehamilan."
"nb","Norwegian Bokmål","Calyx: Syklus & Hormonbalanse","Privat syklussporing, biomarkører og døgnrytme med fullt personvern.","Calyx er en offline-fokusert menstruasjons- og døgnrytmesporer skapt for å gi deg innsikt i kroppen med fullstendig personvern.

SYKLUS- OG DØGNRYTMESYNKRONISERING
• Menstruasjonsfase: Hvile, fornyelse og metabolsk restitusjon
• Follikulærfase: Økende østrogen, vitalitet og overskudd
• Eggløsningsfase: Høy energi, utadvendthet og styrke
• Lutealfase: Fokus, stabil utholdenhet og næringsrik mat

DAGLIG LOGGFØRING AV BIOMARKØRER
• Blødningsmengde og syklusdatoer
• Basaltemperatur (BBT) og temperaturkurver
• Hjertefrekvensvariabilitet (HRV) og restitusjon
• Søvnlengde, energinivå, humør og symptomer

TILPASSET VEILEDNING
• Trening tilpasset hormonelle svingninger
• Kostholdsråd for hormonell balanse
• Søvnoptimalisering

KLINISK RAPPORT OG PDF-EKSPORT
Lag en ryddig A4 PDF-rapport til legen eller gynekologen din.

HAVEN SIKKERHETSHVELV
• Kun lokal lagring uten skyservere eller sporere
• Biometrisk lås og PIN-kode
• Avlednings-PIN (Decoy): Viser værmeny for diskresjon
• Umiddelbar sletting av alle data

ANSVARSFRASKRIVELSE
Calyx er laget for personlig velvære og egeninnsikt. Den erstatter ikke medisinsk rådgivning eller prevensjon."
"nl","Dutch","Calyx: Cyclus & Hormoon-Sync","Privé cyclusregistratie, biomarkers en analyse van het circadiaans ritme.","Calyx is een privacygerichte, offline menstruatiecyclus- en bioritme-app die je helpt je lichaam beter te begrijpen.

SYNCHRONISATIE VAN DE CYCLUSFASEN
• Menstruatiefase: Rust, celvernieuwing en herstel
• Folliculaire fase: Stijgend oestrogeen, vitaliteit en creativiteit
• Ovulatiefase: Piekenergie, welbespraaktheid en zelfvertrouwen
• Luteale fase: Focus, uithoudingsvermogen en gerichte voeding

DAGELIJKSE BIOMARKERLOGBOEK
• Bloedingsintensiteit en cyclusdata
• Basale Lichaamstemperatuur (BBT) en temperatuurverschuiving
• Hartslagvariabiliteit (HRV) en herstel van het zenuwstelsel
• Slaapduur, energieniveau, stemming en fysieke symptomen

GEPERSONALISEERDE HORMONALE BEGELEIDING
• Training afgestemd op de hormonale fasen
• Voedingsadviezen ter ondersteuning van je stofwisseling
• Optimalisatie van je nachtrust

KLINISCH RAPPORT EN PDF-EXPORT
Genereer een overzichtelijk medisch rapport op A4-formaat voor je arts of gynaecoloog.

HAVEN VEILIGHEIDSKLUIS
• Alleen lokale opslag zonder cloudservers
• Biometrische beveiliging en pincode
• Lokvogel-PIN (Decoy Mode): Toont een weeroverzicht om je privacy te beschermen
• Directe en permanente verwijdering van alle gegevens

DISCLAIMER
Calyx is bedoeld voor persoonlijk welzijn en bewustwording. Het is geen medisch hulpmiddel of anticonceptiemiddel."
"pl","Polish","Calyx: Cykl i Zdrowie Hormonal","Prywatne śledzenie cyklu menstruacyjnego, biomarkerów i rytmu dobowego.","Calyx to działająca offline aplikacja do śledzenia cyklu menstruacyjnego i rytmu okołodobowego, stworzona z myślą o pełnej ochronie prywatności.

SYNCHRONIZACJA FAZ CYKLU
• Faza menstruacyjna: Odpoczynek, odnowa komórkowa i regeneracja
• Faza pęcherzykowa: Wzrost estrogenów, energia, kreatywność i witalność
• Szczyt owulacyjny: Maksimum energii, pewność siebie i jasność myśli
• Faza lutealna: Działanie progesteronu, skupienie i zrównoważona dieta

CODZIENNE REJESTROWANIE BIOMARKERÓW
• Obfitość krwawienia i daty cyklu
• Podstawowa temperatura ciała (BBT) i analiza skoku termicznego
• Zmienność rytmu zatokowego (HRV) i regeneracja układu nerwowego
• Długość snu, wahania nastroju i energii oraz objawy fizyczne

SPERSONALIZOWANE WSKAZÓWKI
• Trening dopasowany do fazy hormonalnej
• Odżywianie wspierające równowagę metaboliczną
• Zdrowe nawyki snu

RAPORT DLA LEKARZA I EKSPORT PDF
Przygotuj uporządkowane podsumowanie A4 PDF na wizytę u ginekologa lub endokrynologa.

SEJF BEZPIECZEŃSTWA HAVEN
• Wyłącznie lokalny zapis na urządzeniu – brak serwerów w chmurze
• Blokada biometryczna oraz kod PIN
• PIN kamuflażowy (Decoy): Wyświetla neutralny ekran pogody dla ochrony prywatności
• Natychmiastowe usunięcie wszystkich danych jednym dotknięciem

ZASTRZEŻENIE ZDROWOTNE
Calyx służy celom edukacyjnym i poprawie dobrostanu. Nie stanowi porady lekarskiej ani metody antykoncepcji."
"pt-BR","Portuguese (Brazil)","Calyx: Ciclo e Saúde Hormonal","Monitoramento privado do ciclo menstrual, biomarcadores e ritmo circadiano.","Calyx é um assistente de ciclo menstrual e ritmo circadiano focado em privacidade absoluta e funcionamento offline.

SINCRONIZAÇÃO DAS FASES DO CICLO
Acompanhe seu corpo ao longo das quatro fases naturais:
• Fase Menstrual: Descanso, renovação celular e recuperação metabólica
• Fase Folicular: Elevação de estrogênio, vitalidade, criatividade e disposição
• Pico Ovulatório: Energia máxima, comunicação fluida e confiança
• Fase Lútea: Progesterona, foco, resistência constante e nutrição consciente

REGISTRO DIÁRIO DE BIOMARCADORES
• Intensidade do fluxo e datas do ciclo
• Temperatura Basal Corporal (TBC) e acompanhamento do salto térmico
• Variabilidade da Frequência Cardíaca (VFC) e recuperação do sistema nervoso
• Horas de sono, níveis de energia, variações de humor e sintomas físicos

ORIENTAÇÃO HORMONAL PERSONALIZADA
• Treinos adaptados a cada fase hormonal
• Nutrição equilibrada para apoiar o metabolismo
• Hábitos para um sono mais profundo

DETETIVE DE SINTOMAS
Identifique correlações entre privação de sono, alterações de temperatura e desconfortos.

RELATÓRIO CLÍNICO E EXPORTAÇÃO EM PDF
Gere resumos médicos completos em formato A4 para consultas com ginecologistas.

COFRE DE SEGURANÇA HAVEN
• Armazenamento 100% local no aparelho sem servidores em nuvem
• Proteção biométrica e senha PIN
• PIN de Disfarce (Decoy): Exibe uma tela de clima autêntica em momentos de pressão
• Exclusão imediata e permanente de todos os registros

AVISO LEGAL
O Calyx destina-se ao bem-estar e autoconhecimento. Não substitui orientação médica nem atua como método contraceptivo."
"ro","Romanian","Calyx: Monitorizare Ciclu","Monitorizare privată a ciclului menstrual, biomarkeri și ritm circadian.","Calyx este un ghid offline dedicat ciclului menstrual și ritmului circadian, creat pentru a vă proteja confidențialitatea.

SINCRONIZAREA FAZELOR CICLULUI
• Faza menstruală: Odihnă, reînnoire celulară și refacere
• Faza foliculară: Creșterea estrogenului, vitalitate și creativitate
• Vârful ovulator: Energie maximă, încredere și claritate
• Faza luteală: Concentrare, rezistență constantă și nutriție adecvată

ÎNREGISTRAREA ZILNICĂ A BIOMARKERILOR
• Fluxul menstrual și datele ciclului
• Temperatura bazală a corpului (BBT)
• Variabilitatea ritmului cardiac (HRV)
• Durata somnului, energia, starea de spirit și simptomele fizice

RECOMANDĂRI PERSONALIZATE
• Exerciții fizice corelate cu fazele hormonale
• Alimentație pentru echilibru metabolic
• Îmbunătățirea odihnei

RAPORT CLINIC ȘI EXPORT PDF
Generați un raport medical A4 detaliat pentru vizita la medicul ginecolog.

SEIF DE SECURITATE HAVEN
• Stocare exclusiv locală pe telefonul dumneavoastră
• Protecție biometrică și cod PIN
• PIN momeală (Decoy): Deschide un ecran meteo neutru
• Ștergere completă și imediată a datelor

AVIZ MEDICAL
Calyx este destinat bunăstării personale și nu constituie sfat medical sau metodă contraceptivă."
"ru","Russian","Calyx: Трекер цикла и ритма","Приватный трекер менструального цикла, базальной температуры и симптомов.","Calyx — это автономный трекер менструального цикла и циркадных ритмов, созданный с приоритетом конфиденциальности и локального хранения данных.

СИНХРОНИЗАЦИЯ С ФАЗАМИ ЦИКЛА
• Менструальная фаза: Отдых, клеточное обновление и восстановление
• Фолликулярная фаза: Рост эстрогена, прилив сил, творчество и выносливость
• Овуляторный пик: Максимум энергии, уверенность и ясность общения
• Лютеиновая фаза: Влияние прогестерона, концентрация и сбалансированное питание

ЕЖЕДНЕВНЫЙ ДНЕВНИК БИОМАРКЕРОВ
• Интенсивность выделений и даты менструации
• Базальная температура тела (БТТ) и отслеживание теплового скачка
• Вариабельность сердечного ритма (ВСР) и восстановление нервной системы
• Продолжительность сна, колебания энергии, настроение и симптомы

ПЕРСОНАЛЬНЫЕ РЕКОМЕНДАЦИИ
• Тренировки, согласованные с гормональным фоном
• Питание по фазам для поддержки метаболизма
• Привычки для глубокого и качественного сна

АНАЛИЗАТОР СИМПТОМОВ
Находите взаимосвязи между недосыпанием, температурными колебаниями и самочувствием.

КЛИНИЧЕСКИЙ ОТЧЕТ И ЭКСПОРТ В PDF
Подготовьте наглядный отчет в формате А4 для гинеколога или эндокринолога.

СЕЙФ БЕЗОПАСНОСТИ HAVEN
• Хранение только на устройстве без облачных серверов
• Защита биометрией и PIN-кодом
• Ложный PIN-код (Decoy): В экстренной ситуации открывает экран погоды
• Моментальное и безвозвратное удаление всех записей

МЕДИЦИНСКАЯ ОГОВОРКА
Calyx предназначен для личного контроля самочувствия и не является медицинской рекомендацией или методом контрацепции."
"sv","Swedish","Calyx: Cykel & Hormonhälsa","Privat cykelspårning, biomarkörer och dygnsrytm med full integritet.","Calyx är en offline- och integritetsfokuserad cykel- och dygnsrytmspårare utformad för att hjälpa dig att förstå kroppens naturliga rytmer.

CYKEL- OCH DYGNSRYTMSSYNKRONISERING
• Menstruationsfas: Vila, återhämtning och metaboliskt lugn
• Follikelfas: Stigande östrogen, energi och kreativitet
• Ägglossningsfas: Maximal energi, självförtroende och fokus
• Lutealfas: Uthållighet, stabilitet och näringsrik kost

DAGLIG LOGG AV BIOMARKÖRER
• Blödningsmängd och cykeldagar
• Basaltemperatur (BBT) och temperaturökning
• Hjärtfrekvensvariabilitet (HRV) och återhämtning
• Sömn, energinivå, humör och fysiska symtom

PERSONLIGA RÅD
• Träning anpassad efter hormonella faser
• Kostråd som stödjer hormonbalansen
• Sömnoptimering

LÄKARRAPPORT OCH PDF-EXPORT
Skapa en sammanställning i A4 PDF-format inför läkar- eller gynekologbesök.

HAVEN SÄKERHETSHVALV
• Endast lokal lagring på din enhet
• Biometriskt lås och PIN-kod
• Falsk PIN (Decoy Mode): Visar ett vädergränssnitt för att skydda dina uppgifter
• Omedelbar radering av alla data

FRISKRIVNING
Calyx är avsedd för personlig hälsa och livsstil. Den ersätter inte medicinsk rådgivning eller preventivmedel."
"th","Thai","Calyx: รอบเดือนและฮอร์โมน","บันทึกรอบเดือนส่วนตัว วิเคราะห์อุณหภูมิร่างกายและไบโออาร์กเกอร์","Calyx คือแอปติดตามรอบเดือนและจังหวะชีวภาพที่ทำงานแบบออฟไลน์ ออกแบบมาเพื่อปกป้องความเป็นส่วนตัวของคุณสูงสุด

การซิงค์ระยะของรอบเดือน
• ระยะมีประจำเดือน: การพักผ่อน ฟื้นฟูเซลล์ร่างกาย
• ระยะฟอลลิคูลาร์: ฮอร์โมนเอสโตรเจนเพิ่มขึ้น พลังงานและความคิดสร้างสรรค์
• ระยะตกไข่: พลังงานสูงสุด ความมั่นใจและการสื่อสาร
• ระยะลูเทียล: การรักษาสมาธิ ความอดทน และโภชนาการที่เหมาะสม

บันทึกสัญญาณชีวภาพประจำวัน
• ปริมาณประจำเดือนและวันที่รอบเดือน
• อุณหภูมิร่างกายขณะพัก (BBT) และการเปลี่ยนแปลงความร้อน
• ความแปรปรวนของอัตราการเต้นของหัวใจ (HRV)
• ชั่วโมงการนอนหลับ ระดับพลังงาน อารมณ์ และอาการทางกายภาพ

คำแนะนำที่ปรับให้เหมาะกับคุณ
• การออกกำลังกายที่สอดคล้องกับฮอร์โมน
• โภชนาการตามระยะเพื่อสมดุลร่างกาย
• การนอนหลับที่มีคุณภาพ

รายงานทางการแพทย์และการส่งออก PDF
สร้างเอกสารสรุปทางการแพทย์ขนาด A4 เพื่อปรึกษาแพทย์เฉพาะทาง

ระบบความปลอดภัย HAVEN
• จัดเก็บข้อมูลในเครื่องเท่านั้น ปราศจากคลาวด์
• ล็อกด้วยข้อมูลไบโอเมตริกและรหัส PIN
• รหัส PIN สำรอง (Decoy): เปิดหน้าสภาพอากาศเพื่อความปลอดภัย
• ลบข้อมูลทั้งหมดได้อย่างรวดเร็ว

ข้อจำกัดความรับผิดชอบ
Calyx มีไว้เพื่อการดูแลสุขภาพส่วนบุคคล ไม่ใช่คำแนะนำทางการแพทย์หรือวิธีการคุมกำเนิด"
"tr","Turkish","Calyx: Döngü ve Hormon Takibi","Gizli adet döngüsü takibi, biyobelirteç analizi ve sirkadiyen senkronizasyon.","Calyx, vücudunuzun doğal ritimlerini anlamanıza yardımcı olmak için tamamen çevrimdışı ve gizlilik odaklı tasarlanmış bir adet döngüsü takipçisidir.

DÖNGÜ EVRELERİYLE SENKRONİZASYON
• Menstrüel Evre: Dinlenme, hücresel yenilenme ve metabolik toparlanma
• Foliküler Evre: Yükselen östrojen, canlılık, yaratıcılık ve dayanıklılık
• Yumurtlama Zirvesi: Maksimum enerji, özgüven ve akıcı iletişim
• Luteal Evre: Progesteron odaklılık, dengeli dayanıklılık ve beslenme

GÜNLÜK BİYOBELİRTEÇ KAYDI
• Akıntı yoğunluğu ve döngü tarihleri
• Bazal Vücut Sıcaklığı (BBT) ve termal artış takibi
• Kalp Atış Hızı Değişkenliği (HRV) ve sinir sistemi toparlanması
• Uyku süresi, enerji dalgalanmaları, ruh hali ve fiziksel belirtiler

KİŞİSELLEŞTİRİLMİŞ REHBERLİK
• Hormonal evrelere uygun egzersiz planı
• Metabolizmayı destekleyen dönemsel beslenme
• Derin dinlenme için uyku düzeni

KLİNİK RAPOR VE PDF DIŞA AKTARMA
Jinekoloğunuzla görüşmeleriniz için A4 formatında tıbbi özet PDF raporları hazırlayın.

HAVEN GÜVENLİK KASASI
• Sadece cihazda yerel depolama; bulut sunucuları veya reklam takipçileri yoktur
• Biyometrik kilit ve PIN koruması
• Sahte PIN Protokolü (Decoy): Baskı anında hava durumu ekranı gösterir
• Tek dokunuşla tüm verileri kalıcı olarak silme imkanı

SAĞLIK UYARISI
Calyx yalnızca kişisel sağlık farkındalığı içindir. Tıbbi tavsiye, teşhis veya doğum kontrol yöntemi yerine geçmez."
